round_k,1,11,37,155,712,3780
round_shots,300,400,200,100,100,100
round_queries,300,1200,1800,3500,13300,265100
round_k,1,4,17,66,275,1325
round_shots,200,600,100,100,100,100
round_queries,200,1800,2300,8500,33700,820100
round_k,1,11,42,168,764,4100
round_shots,200,600,100,100,100,100
round_queries,200,1800,2300,7100,26700,622700
round_k,1,11,35,133,603,3113
round_shots,200,500,200,100,100
round_queries,200,1500,4200,10500,197300
round_k,1,10,52,212,986
round_shots,200,700,100,100,100,100
round_queries,200,2100,2500,8300,33700,821700
round_k,1,12,41,168,772,4108
round_shots,200,500,100,100,100,100
round_queries,200,1500,2300,7500,28100,649100
round_k,1,11,37,140,619,3245
round_shots,300,600,100,100,100,100
round_queries,300,1800,2500,7900,30500,730700
round_k,1,12,39,152,691,3653
round_shots,100,400,100,100,100,100
round_queries,100,1200,900,2700,10100,189500
round_k,1,4,13,50,208,947
round_shots,200,500,100,100,100,100
round_queries,200,1500,2100,7500,27900,635500
round_k,1,10,37,139,622,3177
round_shots,200,500,100,100,100,100
